location_name,abbreviation,horizon,forecast_date,target_end_date,model,quantile_0.025,quantile_0.25,quantile_0.5,quantile_0.75,quantile_0.975,quantile_0.025_rounded,quantile_0.25_rounded,quantile_0.5_rounded,quantile_0.75_rounded,quantile_0.975_rounded,forecast_team,forecast_due_date,model_full_name
US,US,0,2026-01-24,2026-01-24,CEPH-Rtrend_covid,5668,6819,7546,8337,9915,5668,6819,7546,8337,9915,CEPH Lab at Indiana University,2026-01-21,Rtrend COVID
US,US,1,2026-01-24,2026-01-31,CEPH-Rtrend_covid,4197,5820,6969,8300,11234,4197,5820,6969,8300,11234,CEPH Lab at Indiana University,2026-01-21,Rtrend COVID
US,US,2,2026-01-24,2026-02-07,CEPH-Rtrend_covid,3066,4871,6280,8014,12195,3066,4871,6280,8014,12195,CEPH Lab at Indiana University,2026-01-21,Rtrend COVID
US,US,0,2026-01-24,2026-01-24,CFA-EpiAutoGP,5625.8599,6320.4765,6799.7325,7302.0499,8338.1765,5626,6320,6800,7302,8338,Center for Forecasting and Outbreak Analytics (CFA/CDC),2026-01-21,EpiAutoGP
US,US,1,2026-01-24,2026-01-31,CFA-EpiAutoGP,4333.0191,5327.0158,5980.931,6726.4311,8366.4291,4333,5327,5981,6726,8366,Center for Forecasting and Outbreak Analytics (CFA/CDC),2026-01-21,EpiAutoGP
US,US,2,2026-01-24,2026-02-07,CFA-EpiAutoGP,3328.4073,4547.9069,5330.3421,6329.7526,8665.1617,3328,4548,5330,6330,8665,Center for Forecasting and Outbreak Analytics (CFA/CDC),2026-01-21,EpiAutoGP
US,US,0,2026-01-24,2026-01-24,CFA_Pyrenew-Pyrenew_HE_COVID,6083.95,6836,7219.5,7623.75,8666.199999999999,6084,6836,7220,7624,8666,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2026-01-21,Pyrenew_Hospital_Admissions_ED_Visits_COVID
US,US,1,2026-01-24,2026-01-31,CFA_Pyrenew-Pyrenew_HE_COVID,5193.85,6356.75,7178.5,8047,10544.124999999993,5194,6357,7178,8047,10544,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2026-01-21,Pyrenew_Hospital_Admissions_ED_Visits_COVID
US,US,0,2026-01-24,2026-01-24,CFA_Pyrenew-Pyrenew_H_COVID,4052,4659,4998.5,5366.25,6256.174999999999,4052,4659,4998,5366,6256,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2026-01-21,Pyrenew_Hospital_Admissions_COVID
US,US,1,2026-01-24,2026-01-31,CFA_Pyrenew-Pyrenew_H_COVID,2176.975,3032,3604.5,4295.5,6425.0999999999995,2177,3032,3604,4296,6425,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2026-01-21,Pyrenew_Hospital_Admissions_COVID
US,US,0,2026-01-24,2026-01-24,CMU-TimeSeries,4431.453437701631,6045.811391127366,6740.658326123721,7499.943537571041,10384.829999515923,4431,6046,6741,7500,10385,Carnegie Mellon Delphi Group,2026-01-21,AR ensemble with auxiliary data
US,US,1,2026-01-24,2026-01-31,CMU-TimeSeries,3796.5752924753824,5897.02160494847,6915.757042190909,8089.763158868962,12836.291317079455,3797,5897,6916,8090,12836,Carnegie Mellon Delphi Group,2026-01-21,AR ensemble with auxiliary data
US,US,2,2026-01-24,2026-02-07,CMU-TimeSeries,3797.9689721576356,5835.819150723202,7053.414736976622,8779.357417298961,14365.178246899819,3798,5836,7053,8779,14365,Carnegie Mellon Delphi Group,2026-01-21,AR ensemble with auxiliary data
US,US,0,2026-01-24,2026-01-24,CovidHub-baseline,4901.7750000000005,6192.25,6810,7427.75,8718.225,4902,6192,6810,7428,8718,CovidHub-hub-models,2026-01-21,CovidHub baseline model
US,US,1,2026-01-24,2026-01-31,CovidHub-baseline,3611.114421894219,5884.090713407135,6810,7737.6494464944635,10022.725338253382,3611,5884,6810,7738,10023,CovidHub-hub-models,2026-01-21,CovidHub baseline model
US,US,2,2026-01-24,2026-02-07,CovidHub-baseline,2969.012792127922,5636.376998769988,6810,7992.712177121772,10682.364483394826,2969,5636,6810,7993,10682,CovidHub-hub-models,2026-01-21,CovidHub baseline model
US,US,0,2026-01-24,2026-01-24,CovidHub-ensemble,5427.881566592142,6407.73478753053,7148.568061621462,7672.330083734817,9225.780692192746,5428,6408,7149,7672,9226,CovidHub,2026-01-21,Ensemble model using CovidHub submissions
US,US,1,2026-01-24,2026-01-31,CovidHub-ensemble,4367.42651954383,6078.102450887194,7073.75,8129.368738635987,10340.762173522911,4367,6078,7074,8129,10341,CovidHub,2026-01-21,Ensemble model using CovidHub submissions
US,US,2,2026-01-24,2026-02-07,CovidHub-ensemble,3797.9689721576356,5835.819150723202,7048.985444893446,8265.158429997138,11304.360303837533,3798,5836,7049,8265,11304,CovidHub,2026-01-21,Ensemble model using CovidHub submissions
US,US,0,2026-01-24,2026-01-24,NEU_ISI-AdaptiveEnsemble,6753,7400,8055,9261,10622,6753,7400,8055,9261,10622,MOBS Lab at Northeastern University and ISI Foundation,2026-01-21,Adaptive Ensemble
US,US,1,2026-01-24,2026-01-31,NEU_ISI-AdaptiveEnsemble,6637,7912,8573,10141,12382,6637,7912,8573,10141,12382,MOBS Lab at Northeastern University and ISI Foundation,2026-01-21,Adaptive Ensemble
