location_name,horizon,quantile_0.025_per100k,quantile_0.5_per100k,quantile_0.975_per100k,quantile_0.025_count,quantile_0.5_count,quantile_0.975_count,quantile_0.025_per100k_rounded,quantile_0.5_per100k_rounded,quantile_0.975_per100k_rounded,quantile_0.025_count_rounded,quantile_0.5_count_rounded,quantile_0.975_count_rounded,target,target_end_date,reference_date,forecast_due_date,target_end_date_formatted,forecast_due_date_formatted,reference_date_formatted,model
US,0,1.1898023313149912,1.6579361067274816,2.1958239510181534,3972.151799240664,5535.015116406043,7330.7522,1.19,1.66,2.2,3972,5535,7331,wk inc covid hosp,2026-02-14,2026-02-14,2026-02-11,"February 14, 2026","February 11, 2026","February 14, 2026",CovidHub-ensemble
US,1,1.0374907300300225,1.6674084934868587,2.5308126059735785,3463.659938730815,5566.638653458435,8449.1109,1.04,1.67,2.53,3464,5567,8449,wk inc covid hosp,2026-02-21,2026-02-14,2026-02-11,"February 21, 2026","February 11, 2026","February 14, 2026",CovidHub-ensemble
US,2,0.8774203291505331,1.567936513676193,2.789436494634293,2929.265347188946,5234.551723403192,9312.526038491862,0.88,1.57,2.79,2929,5235,9313,wk inc covid hosp,2026-02-28,2026-02-14,2026-02-11,"February 28, 2026","February 11, 2026","February 14, 2026",CovidHub-ensemble
Alabama,0,1.2488857691188253,1.9776329145229763,2.8626577556504245,63.66021612961305,100.80708890805754,145.92000000000002,1.25,1.98,2.86,64,101,146,wk inc covid hosp,2026-02-14,2026-02-14,2026-02-11,"February 14, 2026","February 11, 2026","February 14, 2026",CovidHub-ensemble
Alabama,1,1.0764148350489597,1.9351656837957996,3.0061204709652705,54.86875,98.6423808511904,153.23281250000002,1.08,1.94,3.01,55,99,153,wk inc covid hosp,2026-02-21,2026-02-14,2026-02-11,"February 21, 2026","February 11, 2026","February 14, 2026",CovidHub-ensemble
Alabama,2,0.838362922180973,1.684695276634321,3.1683061097693495,42.73438463371326,85.875,161.5,0.84,1.68,3.17,43,86,162,wk inc covid hosp,2026-02-28,2026-02-14,2026-02-11,"February 28, 2026","February 11, 2026","February 14, 2026",CovidHub-ensemble
Alaska,0,0.2570925488014096,0.7306422849338203,1.5968560272357741,1.82975595,5.200061512525342,11.365,0.26,0.73,1.6,2,5,11,wk inc covid hosp,2026-02-14,2026-02-14,2026-02-11,"February 14, 2026","February 11, 2026","February 14, 2026",CovidHub-ensemble
Alaska,1,0.18345177080385067,0.7764874325797259,1.9408081302703564,1.3056464325057937,5.526346471287493,13.812944952028456,0.18,0.78,1.94,1,6,14,wk inc covid hosp,2026-02-21,2026-02-14,2026-02-11,"February 21, 2026","February 11, 2026","February 14, 2026",CovidHub-ensemble
Alaska,2,0.16042322374110057,0.8140157736027805,2.2580817861493396,1.1417497299200243,5.793439802466086,16.071016461021326,0.16,0.81,2.26,1,6,16,wk inc covid hosp,2026-02-28,2026-02-14,2026-02-11,"February 28, 2026","February 11, 2026","February 14, 2026",CovidHub-ensemble
Arizona,0,0.49339598142497443,0.9289799388889683,1.5806568370360796,36.58060502499906,68.875,117.190625,0.49,0.93,1.58,37,69,117,wk inc covid hosp,2026-02-14,2026-02-14,2026-02-11,"February 14, 2026","February 11, 2026","February 14, 2026",CovidHub-ensemble
Arizona,1,0.4112127170508519,0.9719726583838298,1.9740612952765595,30.487500000000004,72.0625,146.35781249999994,0.41,0.97,1.97,30,72,146,wk inc covid hosp,2026-02-21,2026-02-14,2026-02-11,"February 21, 2026","February 11, 2026","February 14, 2026",CovidHub-ensemble
