location_name,abbreviation,horizon,target,target_data_type,forecast_date,target_end_date,model,quantile_0.025,quantile_0.25,quantile_0.5,quantile_0.75,quantile_0.975,quantile_0.025_rounded,quantile_0.25_rounded,quantile_0.5_rounded,quantile_0.75_rounded,quantile_0.975_rounded,forecast_team,forecast_due_date,model_full_name
United States,US,0,wk inc covid hosp,hosp,2024-11-30,2024-11-30,CEPH-Rtrend_covid,5792,7274,8243,9338,11609,5800,7300,8200,9300,11600,CEPH Lab at Indiana University,2024-11-27,Rtrend COVID
United States,US,1,wk inc covid hosp,hosp,2024-11-30,2024-12-07,CEPH-Rtrend_covid,4526,6739,8436,10544,15633,4500,6700,8400,10500,15600,CEPH Lab at Indiana University,2024-11-27,Rtrend COVID
United States,US,2,wk inc covid hosp,hosp,2024-11-30,2024-12-14,CEPH-Rtrend_covid,3504,6148,8469,11663,20522,3500,6100,8500,11700,20500,CEPH Lab at Indiana University,2024-11-27,Rtrend COVID
United States,US,0,wk inc covid hosp,hosp,2024-11-30,2024-11-30,CMU-TimeSeries,4356.829531771424,10021.699896987071,10427.706798500545,16485.676104355858,38562.63324117306,4400,10000,10400,16500,38600,Carnegie Mellon Delphi Group,2024-11-27,AR ensemble with auxiliary data
United States,US,1,wk inc covid hosp,hosp,2024-11-30,2024-12-07,CMU-TimeSeries,4321.26815382356,11883.170913388934,13460.815280702436,23813.77502567712,45602.90270558688,4300,11900,13500,23800,45600,Carnegie Mellon Delphi Group,2024-11-27,AR ensemble with auxiliary data
United States,US,2,wk inc covid hosp,hosp,2024-11-30,2024-12-14,CMU-TimeSeries,4264.076583949424,12111.821173755943,17186.539342231496,29484.633988222417,47015.28242535643,4300,12100,17200,29500,47000,Carnegie Mellon Delphi Group,2024-11-27,AR ensemble with auxiliary data
United States,US,0,wk inc covid hosp,hosp,2024-11-30,2024-11-30,CMU-climate_baseline,1515.5301576543968,15068.188239382504,23773.65880430088,32031.540296017272,45929.50787731424,1500,15100,23800,32000,45900,Carnegie Mellon Delphi Group,2024-11-27,climatological baseline
United States,US,1,wk inc covid hosp,hosp,2024-11-30,2024-12-07,CMU-climate_baseline,1522.3271482416417,15790.374188629019,25331.28197541031,35384.675922862225,50631.427298140654,1500,15800,25300,35400,50600,Carnegie Mellon Delphi Group,2024-11-27,climatological baseline
United States,US,2,wk inc covid hosp,hosp,2024-11-30,2024-12-14,CMU-climate_baseline,1526.123106868932,14927.664022201974,26502.02656312473,35982.11067311774,51155.13688140906,1500,14900,26500,36000,51200,Carnegie Mellon Delphi Group,2024-11-27,climatological baseline
United States,US,0,wk inc covid hosp,hosp,2024-11-30,2024-11-30,CovidHub-baseline,7000.675,7141.75,7290,7438.25,7579.325,7000,7100,7300,7400,7600,CovidHub-hub-models,2024-11-27,CovidHub baseline model
United States,US,1,wk inc covid hosp,hosp,2024-11-30,2024-12-07,CovidHub-baseline,6817.746537215373,7112.881438814388,7290,7466.112321123212,7759.062784627846,6800,7100,7300,7500,7800,CovidHub-hub-models,2024-11-27,CovidHub baseline model
United States,US,2,wk inc covid hosp,hosp,2024-11-30,2024-12-14,CovidHub-baseline,6704.491073410733,7077.061253112532,7290,7501.5312003120025,7869.803434284343,6700,7100,7300,7500,7900,CovidHub-hub-models,2024-11-27,CovidHub baseline model
United States,US,0,wk inc covid hosp,hosp,2024-11-30,2024-11-30,CovidHub-ensemble,5075.98333333333,7740.75,8816.365,9870.21,12323.852,5100,7700,8800,9900,12300,CovidHub,2024-11-27,Ensemble model using CovidHub submissions
United States,US,1,wk inc covid hosp,hosp,2024-11-30,2024-12-07,CovidHub-ensemble,4751.56666666667,9037.12,10298.67,11672.63,16269.388,4800,9000,10300,11700,16300,CovidHub,2024-11-27,Ensemble model using CovidHub submissions
United States,US,2,wk inc covid hosp,hosp,2024-11-30,2024-12-14,CovidHub-ensemble,4706.35495864138,8767.33597729733,10484.6594628906,14457.5636690234,21301.614,4700,8800,10500,14500,21300,CovidHub,2024-11-27,Ensemble model using CovidHub submissions
United States,US,0,wk inc covid hosp,hosp,2024-11-30,2024-11-30,JHU_CSSE-CSSE_Ensemble,4359.966666666667,8207.5,10475,12772,17279.899999999998,4400,8200,10500,12800,17300,The Center for Systems Science and Engineering at Johns Hopkins University,2024-11-27,CSSE Ensemble
United States,US,1,wk inc covid hosp,hosp,2024-11-30,2024-12-07,JHU_CSSE-CSSE_Ensemble,4751.566666666667,9688.666666666666,12601.833333333334,15598.000000000002,21784.1,4800,9700,12600,15600,21800,The Center for Systems Science and Engineering at Johns Hopkins University,2024-11-27,CSSE Ensemble
United States,US,2,wk inc covid hosp,hosp,2024-11-30,2024-12-14,JHU_CSSE-CSSE_Ensemble,5148.633333333333,11196.833333333334,14826,18648.666666666668,26846.149999999998,5100,11200,14800,18600,26800,The Center for Systems Science and Engineering at Johns Hopkins University,2024-11-27,CSSE Ensemble
United States,US,0,wk inc covid hosp,hosp,2024-11-30,2024-11-30,MOBS-GLEAM_COVID,7508.352,8985.624,9923.987,10766.578,12120.774,7500,9000,9900,10800,12100,MOBS Lab at Northeastern University,2024-11-27,GLEAM COVID-19 Forecasting Model
United States,US,1,wk inc covid hosp,hosp,2024-11-30,2024-12-07,MOBS-GLEAM_COVID,8911.532,11071.935,12412.993,13849.248,16269.388,8900,11100,12400,13800,16300,MOBS Lab at Northeastern University,2024-11-27,GLEAM COVID-19 Forecasting Model
United States,US,2,wk inc covid hosp,hosp,2024-11-30,2024-12-14,MOBS-GLEAM_COVID,10700.024,13703.408,15799.923,18110.813,22081.228,10700,13700,15800,18100,22100,MOBS Lab at Northeastern University,2024-11-27,GLEAM COVID-19 Forecasting Model
United States,US,1,wk inc covid hosp,hosp,2024-11-30,2024-12-07,Metaculus-cp,5414.361714975759,9089.282845853659,11163.806281815549,13879.598217600842,24839.23356467538,5400,9100,11200,13900,24800,Metaculus,2024-11-27,Metaculus Community Prediction
United States,US,0,wk inc covid hosp,hosp,2024-11-30,2024-11-30,OHT_JHU-nbxd,6826.25,8445.04,9389.73,10402.42,12526.93,6800,8400,9400,10400,12500,One Health Trust and Johns Hopkins University,2024-11-27,NBEATS exogenous covariate decoder
United States,US,1,wk inc covid hosp,hosp,2024-11-30,2024-12-07,OHT_JHU-nbxd,6930.38,9037.12,10298.67,11672.63,14614.83,6900,9000,10300,11700,14600,One Health Trust and Johns Hopkins University,2024-11-27,NBEATS exogenous covariate decoder
United States,US,2,wk inc covid hosp,hosp,2024-11-30,2024-12-14,OHT_JHU-nbxd,7168.4,9707.94,11256.92,12962.74,16667.52,7200,9700,11300,13000,16700,One Health Trust and Johns Hopkins University,2024-11-27,NBEATS exogenous covariate decoder
United States,US,0,wk inc covid hosp,hosp,2024-11-30,2024-11-30,UM-DeepOutbreak,0,4410.345500195313,6121.161123046873,7753.227741992187,18959.91857421875,0,4400,6100,7800,19000,"University of Michigan, Computer Science and Engineering",2024-11-27,DeepOutbreak
United States,US,1,wk inc covid hosp,hosp,2024-11-30,2024-12-07,UM-DeepOutbreak,0,2390.9956228515784,6608.831787109375,9873.411603710922,23491.485097656252,0,2400,6600,9900,23500,"University of Michigan, Computer Science and Engineering",2024-11-27,DeepOutbreak
United States,US,2,wk inc covid hosp,hosp,2024-11-30,2024-12-14,UM-DeepOutbreak,0,1227.3685213281242,9712.39892578125,15952.387338046876,27291.5118359375,0,1200,9700,16000,27300,"University of Michigan, Computer Science and Engineering",2024-11-27,DeepOutbreak
United States,US,0,wk inc covid hosp,hosp,2024-11-30,2024-11-30,UMass-ar6_pooled,5960.359853116802,7218.602699717558,7939.077424809599,8726.201911955102,10392.651082295159,6000,7200,7900,8700,10400,UMass-Amherst,2024-11-27,AR(6) model with pooling
United States,US,1,wk inc covid hosp,hosp,2024-11-30,2024-12-07,UMass-ar6_pooled,5651.201238305576,7463.177884350626,8562.258957586168,9810.940172843915,12303.722888779115,5700,7500,8600,9800,12300,UMass-Amherst,2024-11-27,AR(6) model with pooling
United States,US,2,wk inc covid hosp,hosp,2024-11-30,2024-12-14,UMass-ar6_pooled,5415.63360112188,7826.73195459466,9232.34731196943,10796.915430061534,14484.312461500707,5400,7800,9200,10800,14500,UMass-Amherst,2024-11-27,AR(6) model with pooling
United States,US,0,wk inc covid hosp,hosp,2024-11-30,2024-11-30,UMass-gbqr,3381.1059153422375,6937.2773775336655,8241.952671510388,8701.158468538466,10553.051440783245,3400,6900,8200,8700,10600,UMass-Amherst,2024-11-27,gradient boosting quantile regression
United States,US,1,wk inc covid hosp,hosp,2024-11-30,2024-12-07,UMass-gbqr,3102.3249618374093,6801.255970437599,8351.950166498957,9465.475105598203,11803.212775648792,3100,6800,8400,9500,11800,UMass-Amherst,2024-11-27,gradient boosting quantile regression
United States,US,2,wk inc covid hosp,hosp,2024-11-30,2024-12-14,UMass-gbqr,2775.7580036744166,6784.955469596155,8355.3029692263,9673.84518294752,13092.661786674531,2800,6800,8400,9700,13100,UMass-Amherst,2024-11-27,gradient boosting quantile regression
Alabama,AL,0,wk inc covid hosp,hosp,2024-11-30,2024-11-30,CEPH-Rtrend_covid,55,72,83,96,122,60,70,80,100,120,CEPH Lab at Indiana University,2024-11-27,Rtrend COVID
Alabama,AL,1,wk inc covid hosp,hosp,2024-11-30,2024-12-07,CEPH-Rtrend_covid,40,65,83,107,164,40,60,80,110,160,CEPH Lab at Indiana University,2024-11-27,Rtrend COVID
Alabama,AL,2,wk inc covid hosp,hosp,2024-11-30,2024-12-14,CEPH-Rtrend_covid,30,59,86,123,229,30,60,90,120,230,CEPH Lab at Indiana University,2024-11-27,Rtrend COVID
Alabama,AL,0,wk inc covid hosp,hosp,2024-11-30,2024-11-30,CMU-TimeSeries,44.89651156762399,109.08308580775446,117.62781612563137,210.34226520976117,556.655860174899,40,110,120,210,560,Carnegie Mellon Delphi Group,2024-11-27,AR ensemble with auxiliary data
Alabama,AL,1,wk inc covid hosp,hosp,2024-11-30,2024-12-07,CMU-TimeSeries,45.56595132442904,132.46662190671802,150.16091141361056,314.4025971026033,734.636600800639,50,130,150,310,730,Carnegie Mellon Delphi Group,2024-11-27,AR ensemble with auxiliary data
Alabama,AL,2,wk inc covid hosp,hosp,2024-11-30,2024-12-14,CMU-TimeSeries,45.49500424545462,146.18695864427033,192.8025502420648,409.02003848508696,759.2608085307271,50,150,190,410,760,Carnegie Mellon Delphi Group,2024-11-27,AR ensemble with auxiliary data
Alabama,AL,0,wk inc covid hosp,hosp,2024-11-30,2024-11-30,CMU-climate_baseline,14.334175487228393,199.185647991122,301.55407508823055,465.5328653570831,680.4832427478534,10,200,300,470,680,Carnegie Mellon Delphi Group,2024-11-27,climatological baseline
Alabama,AL,1,wk inc covid hosp,hosp,2024-11-30,2024-12-07,CMU-climate_baseline,14.437207773096263,204.80406502258333,348.3933785607836,508.1033600167943,798.2838933887289,10,200,350,510,800,Carnegie Mellon Delphi Group,2024-11-27,climatological baseline
Alabama,AL,2,wk inc covid hosp,hosp,2024-11-30,2024-12-14,CMU-climate_baseline,14.494748870058132,162.93920257029686,380.48817469843834,526.2276816406178,806.222553123864,10,160,380,530,810,Carnegie Mellon Delphi Group,2024-11-27,climatological baseline
Alabama,AL,0,wk inc covid hosp,hosp,2024-11-30,2024-11-30,CovidHub-baseline,40.5,54,70,86,99.5,40,50,70,90,100,CovidHub-hub-models,2024-11-27,CovidHub baseline model
Alabama,AL,1,wk inc covid hosp,hosp,2024-11-30,2024-12-07,CovidHub-baseline,21.227267272672734,51.642726427264286,70,88.26610266102662,118.6020310203102,20,50,70,90,120,CovidHub-hub-models,2024-11-27,CovidHub baseline model
Alabama,AL,2,wk inc covid hosp,hosp,2024-11-30,2024-12-14,CovidHub-baseline,9.178411784117843,47.78723787237873,70,92.31534815348152,131.11498364983652,9,50,70,90,130,CovidHub-hub-models,2024-11-27,CovidHub baseline model
Alabama,AL,0,wk inc covid hosp,hosp,2024-11-30,2024-11-30,CovidHub-ensemble,44.302168053616,71.995,84.5150791796247,99.2273946608954,127.764599185046,40,70,80,100,130,CovidHub,2024-11-27,Ensemble model using CovidHub submissions
Alabama,AL,1,wk inc covid hosp,hosp,2024-11-30,2024-12-07,CovidHub-ensemble,42.7829756622145,65.96,84.5450108044399,109.646746646893,163.689,40,70,80,110,160,CovidHub,2024-11-27,Ensemble model using CovidHub submissions
Alabama,AL,2,wk inc covid hosp,hosp,2024-11-30,2024-12-14,CovidHub-ensemble,38.1886706408103,63.8322615673304,88.4682252663083,126.584696779251,230.7345,40,60,90,130,230,CovidHub,2024-11-27,Ensemble model using CovidHub submissions
Alabama,AL,0,wk inc covid hosp,hosp,2024-11-30,2024-11-30,JHU_CSSE-CSSE_Ensemble,29,88.33333333333333,117.66666666666667,147.66666666666666,203.6833333333333,30,90,120,150,200,The Center for Systems Science and Engineering at Johns Hopkins University,2024-11-27,CSSE Ensemble
Alabama,AL,1,wk inc covid hosp,hosp,2024-11-30,2024-12-07,JHU_CSSE-CSSE_Ensemble,45.98333333333333,112,150.66666666666666,188.66666666666666,265.34999999999997,50,110,150,190,270,The Center for Systems Science and Engineering at Johns Hopkins University,2024-11-27,CSSE Ensemble
Alabama,AL,2,wk inc covid hosp,hosp,2024-11-30,2024-12-14,JHU_CSSE-CSSE_Ensemble,59.333333333333336,143.16666666666666,191.33333333333334,242.8333333333334,344.7,60,140,190,240,340,The Center for Systems Science and Engineering at Johns Hopkins University,2024-11-27,CSSE Ensemble
Alabama,AL,0,wk inc covid hosp,hosp,2024-11-30,2024-11-30,MOBS-GLEAM_COVID,87.659,100.408,106.313,112.71,120.826,90,100,110,110,120,MOBS Lab at Northeastern University,2024-11-27,GLEAM COVID-19 Forecasting Model
Alabama,AL,1,wk inc covid hosp,hosp,2024-11-30,2024-12-07,MOBS-GLEAM_COVID,106.186,127.008,136.869,147.347,163.378,110,130,140,150,160,MOBS Lab at Northeastern University,2024-11-27,GLEAM COVID-19 Forecasting Model
Alabama,AL,2,wk inc covid hosp,hosp,2024-11-30,2024-12-14,MOBS-GLEAM_COVID,136.846,166.846,186.047,202.155,232.469,140,170,190,200,230,MOBS Lab at Northeastern University,2024-11-27,GLEAM COVID-19 Forecasting Model
Alabama,AL,0,wk inc covid hosp,hosp,2024-11-30,2024-11-30,OHT_JHU-nbxd,60.68,71.99,78.6,85.71,100.73,60,70,80,90,100,One Health Trust and Johns Hopkins University,2024-11-27,NBEATS exogenous covariate decoder
Alabama,AL,1,wk inc covid hosp,hosp,2024-11-30,2024-12-07,OHT_JHU-nbxd,53.04,66.92,75.33,84.61,104.94,50,70,80,80,100,One Health Trust and Johns Hopkins University,2024-11-27,NBEATS exogenous covariate decoder
Alabama,AL,2,wk inc covid hosp,hosp,2024-11-30,2024-12-14,OHT_JHU-nbxd,46.09,61.27,70.78,81.49,105.64,50,60,70,80,110,One Health Trust and Johns Hopkins University,2024-11-27,NBEATS exogenous covariate decoder
Alabama,AL,0,wk inc covid hosp,hosp,2024-11-30,2024-11-30,UM-DeepOutbreak,0,2.7726812529754525,41.644500732421875,79.68618868110659,280.641300201416,0,3,40,80,280,"University of Michigan, Computer Science and Engineering",2024-11-27,DeepOutbreak
Alabama,AL,1,wk inc covid hosp,hosp,2024-11-30,2024-12-07,UM-DeepOutbreak,0,2.379133086242682,40.57519721984863,74.73720755096434,345.51121353149415,0,2,40,70,350,"University of Michigan, Computer Science and Engineering",2024-11-27,DeepOutbreak
Alabama,AL,2,wk inc covid hosp,hosp,2024-11-30,2024-12-14,UM-DeepOutbreak,0,0,77.80118942260742,130.16939355850218,410.102520904541,0,0,80,130,410,"University of Michigan, Computer Science and Engineering",2024-11-27,DeepOutbreak
