location_name,horizon,quantile_0.025_per100k,quantile_0.5_per100k,quantile_0.975_per100k,quantile_0.025,quantile_0.5,quantile_0.975,quantile_0.025_per100k_rounded,quantile_0.5_per100k_rounded,quantile_0.975_per100k_rounded,quantile_0.025_rounded,quantile_0.5_rounded,quantile_0.975_rounded,target,target_data_type,target_end_date,reference_date,forecast_due_date,target_end_date_formatted,forecast_due_date_formatted,reference_date_formatted,model
United States,0,1.9107324467939355,2.396287738132142,3.358097729024931,6378.975,8000,11211,1.91,2.4,3.36,6379,8000,11211,wk inc covid hosp,hosp,2025-08-23,2025-08-23,2025-08-20,"August 23, 2025","August 20, 2025","August 23, 2025",CovidHub-ensemble
United States,1,1.8037981064797886,2.520782299909602,4.298498386657345,6021.975,8415.62475088906,14350.525,1.8,2.52,4.3,6022,8416,14351,wk inc covid hosp,hosp,2025-08-30,2025-08-23,2025-08-20,"August 30, 2025","August 20, 2025","August 23, 2025",CovidHub-ensemble
United States,2,1.4312893206803161,2.576138287911557,4.670668081786403,4778.35544673271,8600.43056405106,15593.0125,1.43,2.58,4.67,4778,8600,15593,wk inc covid hosp,hosp,2025-09-06,2025-08-23,2025-08-20,"September 06, 2025","August 20, 2025","August 23, 2025",CovidHub-ensemble
Alabama,0,1.9225634597981192,2.903463184184915,4.355194776277371,98,148,222,1.92,2.9,4.36,98,148,222,wk inc covid hosp,hosp,2025-08-23,2025-08-23,2025-08-20,"August 23, 2025","August 20, 2025","August 23, 2025",CovidHub-ensemble
Alabama,1,1.9225634597981192,3.413531040866048,5.453802467590583,98,174,278,1.92,3.41,5.45,98,174,278,wk inc covid hosp,hosp,2025-08-30,2025-08-23,2025-08-20,"August 30, 2025","August 20, 2025","August 23, 2025",CovidHub-ensemble
Alabama,2,1.7558105066523637,3.300627479290637,6.052151299466528,89.5,168.244897884644,308.5,1.76,3.3,6.05,90,168,308,wk inc covid hosp,hosp,2025-09-06,2025-08-23,2025-08-20,"September 06, 2025","August 20, 2025","August 23, 2025",CovidHub-ensemble
Alaska,0,0.47482391689505155,1.1240517569631494,2.1665217838368243,3.37937404717294,8,15.4193738529629,0.47,1.12,2.17,3,8,15,wk inc covid hosp,hosp,2025-08-23,2025-08-23,2025-08-20,"August 23, 2025","August 20, 2025","August 23, 2025",CovidHub-ensemble
Alaska,1,0.4772087388467777,1.264558226583543,3.117421464522103,3.39634708733379,9,22.1870314793649,0.48,1.26,3.12,3,9,22,wk inc covid hosp,hosp,2025-08-30,2025-08-23,2025-08-20,"August 30, 2025","August 20, 2025","August 23, 2025",CovidHub-ensemble
Alaska,2,0.41581650423838606,1.3424036543520952,4.074687618991416,2.95941180048006,9.55403447242584,29,0.42,1.34,4.07,3,10,29,wk inc covid hosp,hosp,2025-09-06,2025-08-23,2025-08-20,"September 06, 2025","August 20, 2025","August 23, 2025",CovidHub-ensemble
Arizona,0,1.2408879038516891,1.8468207811286175,2.89315712365421,92,136.924142250435,214.5,1.24,1.85,2.89,92,137,214,wk inc covid hosp,hosp,2025-08-23,2025-08-23,2025-08-20,"August 23, 2025","August 20, 2025","August 23, 2025",CovidHub-ensemble
