week_ending_date,location,location_name,target,target_data_type,value
2020-08-08,02,Alaska,wk inc rsv hosp,hosp,NA
2020-08-08,01,Alabama,wk inc rsv hosp,hosp,NA
2020-08-08,05,Arkansas,wk inc rsv hosp,hosp,NA
2020-08-08,04,Arizona,wk inc rsv hosp,hosp,NA
2020-08-08,06,California,wk inc rsv hosp,hosp,NA
2020-08-08,08,Colorado,wk inc rsv hosp,hosp,NA
2020-08-08,09,Connecticut,wk inc rsv hosp,hosp,NA
2020-08-08,11,District of Columbia,wk inc rsv hosp,hosp,NA
2020-08-08,10,Delaware,wk inc rsv hosp,hosp,NA
2020-08-08,12,Florida,wk inc rsv hosp,hosp,NA
2020-08-08,13,Georgia,wk inc rsv hosp,hosp,NA
2020-08-08,15,Hawaii,wk inc rsv hosp,hosp,NA
2020-08-08,19,Iowa,wk inc rsv hosp,hosp,NA
2020-08-08,16,Idaho,wk inc rsv hosp,hosp,NA
2020-08-08,17,Illinois,wk inc rsv hosp,hosp,NA
2020-08-08,18,Indiana,wk inc rsv hosp,hosp,NA
2020-08-08,20,Kansas,wk inc rsv hosp,hosp,NA
2020-08-08,21,Kentucky,wk inc rsv hosp,hosp,NA
2020-08-08,22,Louisiana,wk inc rsv hosp,hosp,NA
2020-08-08,25,Massachusetts,wk inc rsv hosp,hosp,NA
2020-08-08,24,Maryland,wk inc rsv hosp,hosp,NA
2020-08-08,23,Maine,wk inc rsv hosp,hosp,NA
2020-08-08,26,Michigan,wk inc rsv hosp,hosp,NA
2020-08-08,27,Minnesota,wk inc rsv hosp,hosp,NA
2020-08-08,29,Missouri,wk inc rsv hosp,hosp,NA
2020-08-08,28,Mississippi,wk inc rsv hosp,hosp,NA
2020-08-08,30,Montana,wk inc rsv hosp,hosp,NA
2020-08-08,37,North Carolina,wk inc rsv hosp,hosp,NA
2020-08-08,38,North Dakota,wk inc rsv hosp,hosp,NA
2020-08-08,31,Nebraska,wk inc rsv hosp,hosp,NA
2020-08-08,33,New Hampshire,wk inc rsv hosp,hosp,NA
2020-08-08,34,New Jersey,wk inc rsv hosp,hosp,NA
2020-08-08,35,New Mexico,wk inc rsv hosp,hosp,NA
2020-08-08,32,Nevada,wk inc rsv hosp,hosp,NA
2020-08-08,36,New York,wk inc rsv hosp,hosp,NA
2020-08-08,39,Ohio,wk inc rsv hosp,hosp,NA
2020-08-08,40,Oklahoma,wk inc rsv hosp,hosp,NA
2020-08-08,41,Oregon,wk inc rsv hosp,hosp,NA
2020-08-08,42,Pennsylvania,wk inc rsv hosp,hosp,NA
2020-08-08,72,Puerto Rico,wk inc rsv hosp,hosp,NA
2020-08-08,44,Rhode Island,wk inc rsv hosp,hosp,NA
2020-08-08,45,South Carolina,wk inc rsv hosp,hosp,NA
2020-08-08,46,South Dakota,wk inc rsv hosp,hosp,NA
2020-08-08,47,Tennessee,wk inc rsv hosp,hosp,NA
