location_name,horizon,quantile_0.025_per100k,quantile_0.5_per100k,quantile_0.975_per100k,quantile_0.025,quantile_0.5,quantile_0.975,quantile_0.025_per100k_rounded,quantile_0.5_per100k_rounded,quantile_0.975_per100k_rounded,quantile_0.025_rounded,quantile_0.5_rounded,quantile_0.975_rounded,target,target_data_type,target_end_date,reference_date,forecast_due_date,target_end_date_formatted,forecast_due_date_formatted,reference_date_formatted,model
United States,0,0.818774078123845,1.070990226928169,1.4064898552978884,2733.4750000000004,3575.4979166666662,4695.5625,0.82,1.07,1.41,2700,3600,4700,wk inc rsv hosp,hosp,2025-12-20,2025-12-20,2025-12-17,"December 20, 2025","December 17, 2025","December 20, 2025",RSVHub-ensemble
United States,1,0.8346232749918344,1.1731611550371286,1.8606687540649272,2786.3875,3916.5952781666665,6211.837499999998,0.83,1.17,1.86,2800,3900,6200,wk inc rsv hosp,hosp,2025-12-27,2025-12-20,2025-12-17,"December 27, 2025","December 17, 2025","December 20, 2025",RSVHub-ensemble
United States,2,0.9132851641956128,1.3242346452661236,2.6392114075852886,3049,4420.9537083333325,8811,0.91,1.32,2.64,3000,4400,8800,wk inc rsv hosp,hosp,2026-01-03,2025-12-20,2025-12-17,"January 03, 2026","December 17, 2025","December 20, 2025",RSVHub-ensemble
United States,0,NA,NA,NA,0.0023393483371653284,0.003398956782666787,0.005180731472661859,NA,NA,NA,0.0023,0.0034,0.0052,wk inc rsv prop ed visits,prop_ed,2025-12-20,2025-12-20,2025-12-17,"December 20, 2025","December 17, 2025","December 20, 2025",RSVHub-ensemble
United States,1,NA,NA,NA,0.002143622480795908,0.0035602209737450245,0.006094933127047803,NA,NA,NA,0.0021,0.0036,0.0061,wk inc rsv prop ed visits,prop_ed,2025-12-27,2025-12-20,2025-12-17,"December 27, 2025","December 17, 2025","December 20, 2025",RSVHub-ensemble
United States,2,NA,NA,NA,0.001366744374098631,0.0035133069406590393,0.008366719167434158,NA,NA,NA,0.0014,0.0035,0.0084,wk inc rsv prop ed visits,prop_ed,2026-01-03,2025-12-20,2025-12-17,"January 03, 2026","December 17, 2025","December 20, 2025",RSVHub-ensemble
Alabama,0,1.0005177188745313,1.8637094763349114,2.6091932668688758,51,95,133,1,1.86,2.61,50,100,130,wk inc rsv hosp,hosp,2025-12-20,2025-12-20,2025-12-17,"December 20, 2025","December 17, 2025","December 20, 2025",RSVHub-ensemble
Alabama,1,0.9416637354113236,1.9617994487735908,3.5116210133047274,48,100,179,0.94,1.96,3.51,50,100,180,wk inc rsv hosp,hosp,2025-12-27,2025-12-20,2025-12-17,"December 27, 2025","December 17, 2025","December 20, 2025",RSVHub-ensemble
Alabama,2,1.0593717023377391,2.354159338528309,4.767172660519826,54,120,243,1.06,2.35,4.77,50,120,240,wk inc rsv hosp,hosp,2026-01-03,2025-12-20,2025-12-17,"January 03, 2026","December 17, 2025","December 20, 2025",RSVHub-ensemble
Alabama,0,NA,NA,NA,0.0043643572182271535,0.0068670041052776645,0.010924711530591082,NA,NA,NA,0.0044,0.0069,0.011,wk inc rsv prop ed visits,prop_ed,2025-12-20,2025-12-20,2025-12-17,"December 20, 2025","December 17, 2025","December 20, 2025",RSVHub-ensemble
