location_name,abbreviation,horizon,target,target_data_type,forecast_date,target_end_date,model,quantile_0.025,quantile_0.25,quantile_0.5,quantile_0.75,quantile_0.975,quantile_0.025_rounded,quantile_0.25_rounded,quantile_0.5_rounded,quantile_0.75_rounded,quantile_0.975_rounded,forecast_team,forecast_due_date,model_full_name
United States,US,0,wk inc rsv hosp,hosp,2026-01-31,2026-01-31,CEPH-Rtrend_rsv,3709,4644,5246,5910,7260,3700,4600,5200,5900,7300,CEPH Lab at Indiana University,2026-01-28,Rtrend RSV
United States,US,1,wk inc rsv hosp,hosp,2026-01-31,2026-02-07,CEPH-Rtrend_rsv,2929,3930,4622,5407,7098,2900,3900,4600,5400,7100,CEPH Lab at Indiana University,2026-01-28,Rtrend RSV
United States,US,2,wk inc rsv hosp,hosp,2026-01-31,2026-02-14,CEPH-Rtrend_rsv,2250,3240,3954,4803,6681,2200,3200,4000,4800,6700,CEPH Lab at Indiana University,2026-01-28,Rtrend RSV
United States,US,0,wk inc rsv prop ed visits,prop_ed,2026-01-31,2026-01-31,CFA_Pyrenew-Pyrenew_E_RSV,0.004186066950218241,0.004779970671933182,0.005147219741255822,0.005505243033310368,0.00638437859997339,0.0042,0.0048,0.0051,0.0055,0.0064,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2026-01-28,Pyrenew_ED_Visits_RSV
United States,US,1,wk inc rsv prop ed visits,prop_ed,2026-01-31,2026-02-07,CFA_Pyrenew-Pyrenew_E_RSV,0.003362423483198303,0.0046165588413952865,0.005400741100774823,0.0063427472733647355,0.008989643233815918,0.0034,0.0046,0.0054,0.0063,0.009,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2026-01-28,Pyrenew_ED_Visits_RSV
United States,US,0,wk inc rsv hosp,hosp,2026-01-31,2026-01-31,CFA_Pyrenew-Pyrenew_HE_RSV,3471,4617.75,5353.5,6240,8509.199999999999,3500,4600,5400,6200,8500,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2026-01-28,Pyrenew_Hospital_Admissions_ED_Visits_RSV
United States,US,0,wk inc rsv prop ed visits,prop_ed,2026-01-31,2026-01-31,CFA_Pyrenew-Pyrenew_HE_RSV,0.003710103933397706,0.004467885506021757,0.004937509946614842,0.005448502340889861,0.006675688429332619,0.0037,0.0045,0.0049,0.0054,0.0067,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2026-01-28,Pyrenew_Hospital_Admissions_ED_Visits_RSV
United States,US,1,wk inc rsv hosp,hosp,2026-01-31,2026-02-07,CFA_Pyrenew-Pyrenew_HE_RSV,2952.975,4284.5,5308.5,6763,11181.64999999998,3000,4300,5300,6800,11200,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2026-01-28,Pyrenew_Hospital_Admissions_ED_Visits_RSV
United States,US,1,wk inc rsv prop ed visits,prop_ed,2026-01-31,2026-02-07,CFA_Pyrenew-Pyrenew_HE_RSV,0.0028267009963580682,0.004009110178478119,0.004943498919720261,0.006092268428273446,0.009186817710352138,0.0028,0.004,0.0049,0.0061,0.0092,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2026-01-28,Pyrenew_Hospital_Admissions_ED_Visits_RSV
United States,US,0,wk inc rsv hosp,hosp,2026-01-31,2026-01-31,CFA_Pyrenew-Pyrenew_H_RSV,3908.95,4413,4693,5009,5717.374999999998,3900,4400,4700,5000,5700,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2026-01-28,Pyrenew_Hospital_Admissions_RSV
